Caste,subcastes,source
JAT,"['MAUN', 'LUNJ', 'HER', 'PRAJAPATI', 'PAYAL', 'GREWAL', 'DHANKAR', 'KANG', 'SIWATCH', 'SHEORAN', 'MALIK', 'KHAYALI', 'KOKKAR', 'JAT SIKH', 'KALERI', 'SAMRA', 'MEHRA', 'HANS', 'DHAKA', 'JAKHAR', 'BHAMBHO', 'GILL', 'MEEL', 'TEWATIYA', 'THIR', 'SIROHI', 'KSHLIYA', 'BHATTI', 'KHATI', 'SINGLA', 'BIRIKHI', 'MAAN', 'JADGE', 'SOHAL', 'MAHANT', 'KAITH', 'GUBANDA', 'MOD', 'CHAHAL', 'BHANGU', 'CHAUHAN', 'GHUMAN', 'SAHRAWAT', 'KEOL', 'RANDHAWA', 'BHINDER', 'CHAUDHARI', 'RATHORE', 'PAWAR', 'MADAN', 'SARAN', 'JAKAHD', 'DEOL', 'CHEL', 'KHACERI', 'PANNU', 'BADHAI', 'GODRA', 'CHOPRA', 'JATSIKH', 'LOHAN', 'MANN', 'PUNIYA', 'SIHAG', 'SAMARAN', 'KUNDU', 'NAIN', 'SHEDKAND', 'THALODI', 'BENIWAL', 'BHAL', 'JUDGE', 'CHATRAWAL', 'MORWAL', 'RAI', 'PANGHAL', 'FAGADANA', 'TATLA', 'LALLI', 'BHULLAR', 'NIJJAR', 'JAT', 'JHIWAR', 'SANDHU', 'MITHA', 'CHOUDHARY', 'MANDAL', 'MAUR', 'SIDHU', 'CHIMMA', 'SHARMA', 'CHICHAR', 'PAKGI', 'BARAI', 'BASSI']",mf_shadi_jeevansathi
JHANGRA BRAHMAN,"['JANGID BRAHMAN', 'TARKHAN', 'JHANGRA-BRAHMAN', 'BADDI', 'KHATI', 'SUTHAR', 'RAMGARHIA', 'JHANGARA-BRAHMAN', 'JANGRA BRAHMAN', 'BARHAI', 'JHANGRA BRAHMAN', 'JANGRA-BRAHMAN', 'DHIMAN']",gov
JULAHA,"['KEER', 'KABIRPATH', 'JULAYA', 'TARIYA', 'ANSARI', 'KABIRAM', 'JULAHA', 'TARI', 'JULAHE', 'KABIRPANTHI', 'GARANA', 'JULAHA-MOMIN', 'MOMIN-ANSARI', 'JULAHA-ANSARI', 'MOMIN', 'ALI', 'JULLAHA', 'KOLI']",mf_jeevansathi
KANJARA – BHATTA,"['KANJIRBHAT', 'KANJARA – BHATTA', 'KHANJARBHAT', 'KANJARA-BHATTA', 'KANJIRBHAAT']",gov
KANSARI,['KANSARI'],jeevansathi
KASAI,"['QASSAB-QURESHI', 'KASAI', 'ARE KASAI', 'KASAB', 'ARI KATIKELU', 'QUASAB', 'KATUKA KATUGA', 'MARATTI', 'SURYAVAMSHA KSHATRIYA', 'KASSAB QUSSAB', 'KASSAB', 'KALAL KHATIK', 'KISBI', 'KHATIK', 'KASAI-QURAISHI', 'KATIK', 'KASABI', 'QURAISHI', 'ARAY', 'QASSAB']",gov
KHAN,"['PATHAN', 'KHAN']",mf
KHANDAYAT,"['CHASA', 'ORIYAMUNDA', 'MUNDA', 'ODUKHANDAYAT', 'MAGHIYA', 'SRESTAKHANDAYAT', 'MAHANAIK', 'KANDARA', 'KHANDAYAT']",mf_jeevansathi
KHANDELWAL,['KHANDELWAL'],mf_shadi
KHANDNALS,['KHANDNALS'],gov
KHANDU,"['GUPTA', 'KHANDU']",mf
KHANGAR,"['MIRDHA', 'KHANGAR', 'KANERA']",gov
KHANGHERA,['KHANGHERA'],gov
KHANT,['KHANT'],gov
KHATI,"['CHIKWA', 'KASAI', 'KHATHIYA', 'KASAB', 'KHATI', 'JAGARA', 'CHIKVI', 'UTTAM', 'KHATKI', 'GAUR', 'BAMANIYA', 'CHIK', 'SONAR', 'JANGARH', 'NATH', 'SONKAR', 'YADAV', 'DHAMAN', 'CHAUHAN', 'KHATIK', 'DHIMAN', 'JANGADA', 'KHATIYA', 'KASAI-QURESHI', 'KHATWA', 'KHATWE', 'QURESHI', 'SEMAR', 'KHATGUNE', 'HALARI', 'CHAMADIA', 'BARAI']",mf
KHETRIYA,"['MAHANAIK', 'ORHKHANDAYAT', 'KHETRIYA']",mf
KHOTTA MUSLIM,['KHOTTA MUSLIM'],gov
KOLI,"['KHARWA', 'DONGAR KOLI', 'KOLI PATEL', 'MAHAVAR', 'KHARWI', 'BARI', 'MAHADEVKOLI', 'KOLI MAHADEV', 'BHEBARIA-KOLI', 'CHRISTIAN KOLI', 'PANBHARE SON KOLI', 'BARIA-KOLI', 'KOLCHA', 'GHEDIA KOLI', 'CHUVALIA KOLI', 'CHUMBLE', 'MALHARKOLI', 'KORI', 'KHARVA', 'KOLI SURYAVAMSHI VAITI', 'KOLI KADIA.', 'KOLI', 'RATHWA-KOLI', 'KOLGHA', 'KHARVI', 'DIVECHA KOLI', 'KOLI DHOR', 'KHARWA-KOLI', 'AHIR KOLI', 'MALHAR', 'PAN KOLI', 'GABIT', 'TOKRE KOLI', 'MACHIMAR KOLI', 'KHANDESHI KOLI', 'MANGELA', 'MANGALA', 'KOLI MACHHI', 'IDARIA-KOLI']",mf_jeevansathi
KOLI KHANIA,['KOLI KHANIA'],gov
KUPADHAR,"['KUSHIARI', 'PARH', 'KUPADHAR']",gov
LOHAR,"['WADHAI', 'GOHIL', 'BAWRI', 'KHATI', 'LUHAR SAIFI', 'NADRA', 'BHUBHALIA', 'SHAKHALA', 'HUNGA LOHAR', 'LOHPATA', 'SHER', 'KHATAWALI', 'GAROLA', 'VISHWAKARMA', 'BHUHALIA-LOHAR', 'BHUBALIA-LOHAR', 'TARKHAN', 'GADILOHAR', 'LUHAR', 'LOHPETA', 'SAIFI', 'YADA V', 'CHATRI', 'VERMA', 'BAKSHI PANCH', 'JAGADE', 'PANCHAL', 'SONWANI', 'PALIWAL', 'YADAV', 'LOHRA', 'DODI', 'LOHPITA', 'SURI', 'PRJAPATI', 'RAMGARHIA', 'KUMAWAT', 'NAGAURI LUHAR', 'AMRA', 'GADOLEY', 'MISTRI', 'VISHKARMA', 'SHARMA', 'BANSAL', 'SAHU', 'DHELE', 'KALRI', 'VISWAKARMA', 'LOHAR- GADA', 'MULTANI LUHAR', 'DUPAD', 'ORIYAKAMAR', 'PANCHAI', 'VAISHNAV', 'LOHARA', 'LOHAR', 'GADELA', 'TILAK']",mf_jeevansathi
MAJHI,"['KUSMETE', 'MAJHI', 'BHATWAR', 'PATNI MUSLIM']",mf
MAL MUSLIM,['MAL MUSLIM'],gov
MALIK,"['VAJIR', 'SAYYAD', 'MALIK']",mf
MANG,"['RADHE MANG', 'MANG GARODI', 'MADARI', 'GARUDI', 'MANG', 'MANG MAHASI', 'MANG GARUDI', 'NAGARCHI', 'MANGIA', 'MATANG', 'MANG MAHASHI', 'DANKHANI MANG', 'MANG-GARUDI', 'DANKHNI MANG', 'MINIMADIG']",mf
MANSUR,"['MANSURI', 'MANSUR', 'KHAN']",mf
MOMIN,"['ANSARI', 'JULAHA', 'MOMINANSARI', 'ANSAR', 'MOMIN']",mf
MUCHI,"['RISHI', 'RAVIDAS', 'CHAMAR MUSLIM', 'MUCHI']",gov
MUGHAL,"['JOSHI', 'MUGHAL', 'BEG', 'RATHORE', 'MEENA']",mf
MUSKHAN,['MUSKHAN'],gov
MUSLIM,"['MUSLIM', 'JALARI', 'MUJAHID', 'GOLLA', 'NADAG', 'SWETAMBAR', 'SHAIK', 'LEPPAI', 'JAMARI', 'LABBAI', 'PANCHAMSALI', 'BYARE', 'KUDARI', 'DUDEKULA', 'JAMAMITK', 'BOHRA', 'JALLENI', 'SHAIKH', 'CHEEMALA', 'MEDAR', 'JHAMALA', 'MULLA', 'JAMAN', 'SHEIKH', 'NAPAE', 'NAIKA', 'NADAK', 'RABBAI', 'NADAR', 'SWNNR', 'SYED', 'PATHAN', 'WADE', 'SAYED', 'RAVUTHUR', 'NADAF', 'RAWTHER', 'SUNNI', 'QURESHI', 'GUNJE', 'SAMRATH', 'MATESHP', 'MAPPILLA']",mf
MUSLIM BARUJIBI,"['MUSLIM BARUJIBI', 'BARUI']",gov
MUSLIM BHANGI,"['MUSLIM RELIGION BHANGI', 'LALBEG', 'KHAKROB', 'MEHTAR', 'HALALKHOR', 'THE MEMBERS OF WHICH ARE ACTUALLY IN THE SAFAI KARAMCHARI PROFESSION']",gov
MUSLIM BHATIYARA,['MUSLIM BHATIYARA'],gov
MUSLIM BISWAS,['MUSLIM BISWAS'],gov
MUSLIM CHUTOR MISTRI,['MUSLIM CHUTOR MISTRI'],gov
MUSLIM DAFADAR,['MUSLIM DAFADAR'],gov
MUSLIM DARJI,"['OSTAGAR', 'MUSLIM DARJI', 'SIDDIQUI', 'MUSLIMDARJI', 'IDRISHI']",gov
MUSLIM DHOBI,"['SULEMANI', 'MIYAN', 'MUSLIMDHOBI', 'ALI', 'ANSARI', 'DHUNIYA', 'KASSAR', 'SHEIKH', 'KHAN', 'DUBEY', 'SIDDIQUI', 'SHARMA', 'THAKUR', 'MANSURI', 'IDRISHI', 'DHAMA', 'BAKSH']",gov
MUSLIM GUJAR,"['HASHMI', 'MUSLIMGUJAR']",gov
MUSLIM HALDAR,['MUSLIM HALDAR'],gov
MUSLIM HALWAI,"['MUSLIMHALWAI', 'ALI']",gov
MUSLIM JAMADAR,['MUSLIM JAMADAR'],gov
MUSLIM KALANDAR,['MUSLIM KALANDAR'],gov
MUSLIM KAYASTHA,['MUSLIM KAYASTHA'],gov
MUSLIM LASKAR,['MUSLIM LASKAR'],gov
MUSLIM LOHAR,"['MUSLIMLOHAR', 'ALI']",gov
MUSLIM MADARI,"['MUSLIM MADARI', 'JADOOGAR', 'SAAPWALE', 'GAARUDI']",gov
MUSLIM MALI,['MUSLIM MALI'],gov
MUSLIM MANYAR,"['MUSLIM MANYAR', 'MANIYAAR', 'MANERI']",gov
MUSLIM MOLLA,['MUSLIM MOLLA'],gov
MUSLIM NAI,"['SULEMANI', 'BALWAR', 'TURKATA', 'MUSLIMNAI']",gov
