Caste,Subcastes,source
KHANDU (Hindu),"['GUPTA', 'KHANDU']",mf
KHANGAR (Hindu),"['MIRDHA', 'KHANGAR', 'KANERA']",gov
KHANGHERA (Hindu),['KHANGHERA'],gov
KHANT (Hindu),['KHANT'],gov
KHATI (Hindu),"['CHIKWA', 'KASAI', 'KHATHIYA', 'KHATI', 'JAGARA', 'CHIKVI', 'UTTAM', 'KHATKI', 'GAUR', 'BAMANIYA', 'CHIK', 'SONAR', 'JANGARH', 'NATH', 'SONKAR', 'YADAV', 'DHAMAN', 'CHAUHAN', 'KHATIK', 'DHIMAN', 'JANGADA', 'KHATIYA', 'KASAI-QURESHI', 'KHATWA', 'KHATWE', 'SEMAR', 'KHATGUNE', 'HALARI', 'CHAMADIA', 'BARAI']",mf
KHETRIYA (Hindu),"['MAHANAIK', 'ORHKHANDAYAT', 'KHETRIYA']",mf
KOLI (Hindu),"['KHARWA', 'DONGAR KOLI', 'KOLI PATEL', 'MAHAVAR', 'KHARWI', 'BARI', 'MAHADEVKOLI', 'KOLI MAHADEV', 'BHEBARIA-KOLI', 'CHRISTIAN KOLI', 'PANBHARE SON KOLI', 'BARIA-KOLI', 'KOLCHA', 'GHEDIA KOLI', 'CHUVALIA KOLI', 'CHUMBLE', 'MALHARKOLI', 'KORI', 'KHARVA', 'KOLI SURYAVAMSHI VAITI', 'KOLI KADIA.', 'KOLI', 'RATHWA-KOLI', 'KOLGHA', 'KHARVI', 'DIVECHA KOLI', 'KOLI DHOR', 'KHARWA-KOLI', 'AHIR KOLI', 'MALHAR', 'PAN KOLI', 'GABIT', 'TOKRE KOLI', 'MACHIMAR KOLI', 'KHANDESHI KOLI', 'MANGELA', 'MANGALA', 'KOLI MACHHI', 'IDARIA-KOLI']",mf_jeevansathi
KOLI KHANIA (Hindu),['KOLI KHANIA'],gov
KUPADHAR (Hindu),"['KUSHIARI', 'PARH', 'KUPADHAR']",gov
LOHAR (Hindu),"['WADHAI', 'GOHIL', 'BAWRI', 'KHATI', 'NADRA', 'BHUBHALIA', 'SHAKHALA', 'HUNGA LOHAR', 'LOHPATA', 'KHATAWALI', 'GAROLA', 'VISHWAKARMA', 'BHUHALIA-LOHAR', 'BHUBALIA-LOHAR', 'TARKHAN', 'GADILOHAR', 'LUHAR', 'LOHPETA', 'YADA V', 'CHATRI', 'VERMA', 'BAKSHI PANCH', 'JAGADE', 'PANCHAL', 'SONWANI', 'PALIWAL', 'YADAV', 'LOHRA', 'DODI', 'LOHPITA', 'SURI', 'PRJAPATI', 'RAMGARHIA', 'KUMAWAT', 'NAGAURI LUHAR', 'AMRA', 'GADOLEY', 'MISTRI', 'VISHKARMA', 'SHARMA', 'BANSAL', 'SAHU', 'DHELE', 'KALRI', 'VISWAKARMA', 'LOHAR- GADA', 'MULTANI LUHAR', 'DUPAD', 'ORIYAKAMAR', 'PANCHAI', 'VAISHNAV', 'LOHARA', 'LOHAR', 'GADELA', 'TILAK']",mf_jeevansathi
MAJHI (Hindu),"['KUSMETE', 'MAJHI', 'BHATWAR']",mf
MANG (Hindu),"['RADHE MANG', 'MANG GARODI', 'GARUDI', 'MANG', 'MANG MAHASI', 'MANG GARUDI', 'NAGARCHI', 'MANGIA', 'MATANG', 'MANG MAHASHI', 'DANKHANI MANG', 'MANG-GARUDI', 'DANKHNI MANG', 'MINIMADIG']",mf
MANSUR (Hindu),['MANSURI'],mf
MOMIN (Hindu),"['ANSARI', 'MOMINANSARI']",mf
MUCHI (Hindu),"['RISHI', 'RAVIDAS', 'MUCHI']",gov
MUGHAL (Hindu),"['JOSHI', 'RATHORE', 'MEENA']",mf
MUSLIM (Hindu),"['JALARI', 'GOLLA', 'NADAG', 'SWETAMBAR', 'LEPPAI', 'JAMARI', 'PANCHAMSALI', 'BYARE', 'KUDARI', 'JAMAMITK', 'JALLENI', 'SHAIKH', 'CHEEMALA', 'MEDAR', 'JHAMALA', 'NAPAE', 'NAIKA', 'NADAK', 'NADAR', 'SWNNR', 'SYED', 'WADE', 'GUNJE', 'SAMRATH', 'MATESHP']",mf
MUSLIM BARUJIBI (Hindu),['BARUI'],gov
MUSLIM BHANGI (Hindu),['THE MEMBERS OF WHICH ARE ACTUALLY IN THE SAFAI KARAMCHARI PROFESSION'],gov
MUSLIM DARJI (Hindu),['MUSLIMDARJI'],gov
MUSLIM DHOBI (Hindu),"['MUSLIMDHOBI', 'ANSARI', 'DHUNIYA', 'DUBEY', 'SHARMA', 'THAKUR', 'MANSURI', 'DHAMA']",gov
MUSLIM GUJAR (Hindu),['MUSLIMGUJAR'],gov
MUSLIM HALWAI (Hindu),['MUSLIMHALWAI'],gov
MUSLIM LOHAR (Hindu),['MUSLIMLOHAR'],gov
MUSLIM MADARI (Hindu),['MUSLIM MADARI'],gov
MUSLIM NAI (Hindu),['MUSLIMNAI'],gov
MUSLIM RAJPUT (Hindu),"['GOND', 'ANSARI', 'MUSLIMRAJPUT']",gov
MUSLIM SALMANI (Hindu),['MUSLIMSALMANI'],gov
MUSLIM TELI (Hindu),"['MUSLIMTELI', 'DERWAL', 'PRAJAPATI']",gov
NAIR (Hindu),"['PILLAI', 'THIYA', 'CHETTIAR', 'KURUP', 'VELUTHODATHU NAIR', 'VILAKIKRISHNAN', 'PICARI', 'BRAHMAN', 'BHATTATHI', 'PATTAR', 'NAMBIYAR', 'CHETTI', 'PANICKAR', 'VLLAKIAM', 'DEVARA', 'R.C.NADAR', 'NAMBUTHIRI', 'KARTHA', 'NADAR', 'VILAKIT', 'VELUTHEDATHU NAIR', 'VALAKATHALA', 'SYRIAN', 'GUPTHAN', 'POTHUWAL', 'VADIAR', 'MARAR', 'NAIR', 'VILAKITHALA', 'MENON', 'PENTACOSTAL', 'ROMAN CATHOLIC', 'IYYANGA R', 'VARIAR']",mf_shadi_jeevansathi
NEYGI (Hindu),"['THOGATAGERA', 'THOGATARU', 'LINGAYAT KURUSHINASHETTY', 'JHAMKHANA', 'LINGAYAT BILIMAGGA', 'KURNI', 'LINGAYAT NEYGI', 'SALE', 'NEIKAR', 'PADMA SALI', 'THOGATIGA', 'JANDRA', 'PADMA SHALI', 'AYIRI', 'THOGATA', 'JADAR LINGAYAT JADARU SAKULASALE', 'PATTASALE', 'KAIKOLAN', 'THOGATAVEERA KSHATRIYA', 'SENGUNDHAR', 'NEKAR', 'THOGATAVEERA', 'KURUSHINASETTY', 'AVIR', 'SONIGA', 'SAALE', 'NEYGI', 'PATTASALI', 'THOGAJA PUSHPANJALI', 'BILIMAGGA', 'PADMASALE']",gov
PATHAN (Hindu),"['RAIGAR', 'LEELGA R', 'PAWAR', 'BHATI', 'SOLANKI', 'BHAGE', 'RAVANA', 'MEWAD', 'GOYAL', 'PANWAR', 'JATAV', 'MEENA']",mf
PINJARA (Hindu),"['NADDAF', 'SHAH', 'KABRAKHODU', 'DHUNIYA', 'BAKSHI PANCH', 'LADAF', 'NADAFF', 'DHUNKAR', 'FAQUIR']",mf
