Caste,is_caste,type,caste_name,remarks,is_muslim,location
dhaula or soni,False,sub_caste,sonar,,,
braji,False,sub_caste,Brahmin,,,
ghumair,False,sub_caste,Khan,Muslim,,
keshavrajput,False,sub_caste,Rajput,,,
kahtiyal,False,sub_caste,kahtiyal,,,
labana,False,sub_caste,Banjara,,,
marve,False,sub_caste,Marwari,,,
mashim,False,sub_caste,Gill,,,
parjapatra,False,sub_caste,Prajapati,,,
singhikant singhiwala,False,sub_caste,Singikat,,,
sohata,False,sub_caste,jat,,,
agarawal,False,sub_caste,Bania,,,
baishnoi,False,sub_caste,Jat,,,
banwari,False,sub_caste,Kumhar,,,
chanthi,False,sub_caste,Chamars,,,
daroga-rajot,False,sub_caste,Rajput,,,
deshantri,False,sub_caste,Brahmin,,,
dhegumegu,False,sub_caste,Mahar,,,
garua,False,sub_caste,Guru,,,
girui,False,sub_caste,Brahmin,,,
kali,False,sub_caste,Kalita,,,
kooch band,False,sub_caste,Adi Dharmi,,,
tetaria,False,sub_tribe,dhanka,,,
vyash,False,sub_caste,brahman,,,
goyal,False,sub_caste,agrawal,,,
kanhar,False,sub_caste,kanjar,,,
shorgir or shergir,False,sub_caste,tapriwas,,,
dhosali dosal,False,sub_caste,Bhosali,,,
hensi or hesi,False,sub_caste,naik,,,
are kasai,False,sub_caste,kasai,,,
ari katikelu,False,sub_caste,kasai,,,
bailu akkasali,False,sub_caste,balija,,,
balagiga,False,sub_caste,balija,,,
cugayat,False,sub_caste,lingyat,,,
digwan jingar,False,sub_caste,jingar,,,
dravida,False,sub_caste,brahman,,,
durgamurga burburcha,False,sub_caste,burburcha,,,
egilika,False,sub_tribe,gond,,,
gowriga,False,sub_caste,vokkaliga,,,
gram vakkal,False,sub_caste,vakkal,,,
hanabar,False,sub_caste,yadav,,,
javeri jawari,False,sub_caste,bania,,,
