caste1,caste2,score
PARJA,BARIA,2
PARJA,PANKA,2
PARJA,DARJI,2
SAWAR,MAHAR,2
SAWAR,KASAR,2
SAWAR,SANGAR,2
SAWAR,SONAR,2
SAWAR,SUTAR,2
SAWAR,POWAR,2
THAKUR,THAKKAR,2
THOTI,DHOLI,2
THOTI,KHATI,2
THOTI,THORIA,2
THOTI,THOGTI,1
THOTI,BHOI,2
VARLI,BARI,2
VARLI,GAWLI,2
VARLI,MAHLI,2
VARLI,SALI,2
VARLI,MALI,2
VARLI,DARJI,2
AGER,AGRI,2
ARAY MALA,ARWA MALA,2
BAHNA,BADIA,2
BAHNA,BARIA,2
BAKAD,BERAD,2
BAKAD,PAHAD,2
BAKAD,PAHAD,2
BAKAD,LAZAD,2
BASOR,KASAR,2
BEDAR,MEDAR,1
BEDAR,BERAD,2
BEDAR,BELDAR,1
BHAMBI,BHANGI,2
BHAMBI,BHAMTA,2
BHAMBI,BHAMTA,2
BHANGI,BHAND,2
BHANGI,BHANTA,2
BHANGI,BANDI,2
DAKKAL,SAKKA,2
DHOR,DOM,2
DHOR,DHOLI,2
DHOR,BHOI,2
DOM,DAS,2
GANDA,GARODA,2
GANDA,PANKA,2
GANDA,BANDI,2
GARODA,GARUDI,2
GHASI,PASI,2
GHASI,JHADI,2
GHASI,KHATI,2
GHASI,GHADSHI,2
GHASI,UDASI,2
HALSAR,HOLAR,2
HALSAR,HATKAR,2
HALSAR,KASAR,2
HALSAR,BHALDAR,2
HALSAR,HANBAR,2
HOLAR,HOLAYA,2
HOLAR,LOHAR,2
HOLAR,SONAR,2
HOLAR,POWAR,2
HOLAR,BHOYAR,2
KAIKADI,RAIKARI,2
KATIA,KHATIK,2
KATIA,NADIA,2
KATIA,BADIA,2
KATIA,BARIA,2
KATIA,JATIYA,2
KATIA,KHATI,2
KATIA,KATHI,2
KATIA,LADIA,2
KATIA,KATHAR,2
KATIA,KHATIK,2
KHANGAR,DHANGAR,1
