Caste,subcastes,source
BAKSHI,"['NODI', 'BAKSHI', 'VANAND', 'BAROT', 'BAKSHI PANCH', 'SAMEJA', 'BAVAJI']",mf
BAKUDA,['BAKUDA'],gov
BALAGAI,['BALAGAI'],gov
BALAGIGA,"['BALAGIGA', 'SUNNAKAIL']",mf
BALAHI,"['BALAI', 'BALAHI']",gov
BALASANTHU,"['BALASANTHU', 'BAHURUPI', 'BALASANTHOSHI']",gov
BALIGAR,['BALIGAR'],mf
BALIJA,"['MUNNAR', 'SETTY BALIJA', 'BALAJIGA', 'TELUGA', 'BALESHETTARU', 'SETTIBALIJA', 'CETTIBALIJA', 'BANDARI', 'KUDARI', 'MUTRASI', 'BALIJA', 'DUDEKULA', 'KALAVANTHI TELAGA BALIJA', 'PERIKI', 'CHEEMALA', 'NAIDU', 'SETTI', 'SETTIVARI', 'BHOGAM', 'POKANTI', 'NAIKA', 'BANAJIGA', 'GAJULA BALIJA', 'BALEGARA', 'MANNUR', 'BALE BALAJIGA', 'TELUGA BANAJIGA', 'DASA BANAJIGA', 'CHINNKAPU', 'GAZULA', 'TELAGA', 'JANAPPAN', 'PALAGIRI', 'KASBAN', 'MATRACHA', 'LINGAYAT BALEGALA', 'SETTY BANAJIGA']",mf_jeevansathi
BALMIKI,"['BHANGI', 'RAMDASI', 'CHURA', 'SOBAT', 'SOHATA', 'BALMIKI', 'CHUHRE', 'CHUHRA']",mf
BALTI,['BALTI'],gov
BAMAN,"['BAMAN', 'SAMRATH']",mf
BANCHADA,['BANCHADA'],gov
BANDARA,"['BANDARA', 'BANDARAM', 'ANDI']",gov
BANDARI NAIK,"['BLACKSMITH', 'TINSMITH', 'BANDARI NAIK']",gov
BANDHARI,"['BANDHARI', 'BANDARI']",gov
BANDHELA,['BANDHELA'],gov
BANDI,['BANDI'],gov
BANGALI,"['HELA', 'BENGALI', 'CHASA', 'BANGALI']",mf
BANGI,"['KHAKROB', 'BANGI', 'BHANGI']",gov
BANGSHI,['BANGSHI'],gov
BANIA,"['MAHESHWARI', 'VANIA', 'VAISNAV']",shadi_jeevansathi
BANIK,"['GANDHABANIK', 'DESASHRAM', 'BANIK']",mf_jeevansathi
BANIYA,"['ASRATI', 'SINGLA', 'KANSAL', 'ORIYABANIYA', 'TUREHA', 'BANIYA', 'VARSHNEY', 'ORIYAMUNDA', 'SHAH', 'ARORA', 'CHOUDHARY', 'GUPTA', 'AGARAWAL', 'BARNAWAL', 'SINGHAL', 'YADAV', 'KHANDEL', 'GARG', 'JAISWAL', 'AGARWAL', 'KESARBANI', 'MODI', 'SUNARI', 'KESRI', 'MISTRY', 'GOYAL', 'KESHRWANI', 'SHARMA', 'BANSAL', 'SHAHU', 'SAHU', 'JINDAL', 'PADAIYACHI', 'RANA', 'AYODHABASI', 'JAIN', 'POWAR', 'GOEL', 'BANNIYAR', 'PALIWAL', 'MAHAJAN']",mf
