Caste,subcastes
BANPAR,['BANPAR']
BANSHI BARMAN,['BANSHI BARMAN']
BANSI,['BANSI']
BANSPHOR,"['BANSPHOR', 'BASPHOR', 'BANSPHOD', 'BASOR']"
BANT,['BANT']
BANTAR,['BANTAR']
BANWARI,['BANWARI']
BAORI,"['BAORI', 'CHOUKIDA']"
BAPHAN,['BAPHAN']
BARAD,['BARAD']
BARAGI,"['BAIRAGI', 'BARAGI']"
BARAHAR,"['BARAHAR', 'BASOD']"
BARAI,"['TAMOLI', 'TARBOLI', 'BARAI TAMBOLI', 'WARI', 'BARI', 'TAMBOLI', 'KUMAVAT', 'KUMAVATT', 'TOMBOLI', 'TAMBOLI KUMAVATT', 'BARAI', 'WAARAI']"
BARAR,"['BARWALA', 'BARAR', 'BERAR', 'BURAR']"
BARBAR,['BARBAR']
BARBER,['BARBER']
BARDA,['BARDA']
BARGI,"['BARGI', 'BIRGI', 'VARGI']"
BARGUNDA,['BARGUNDA']
BARHAI,"['VISHWAKARMA', 'MALVIA', 'VISWAKARMA', 'KHATI', 'GARG', 'RAMGARHIA', 'SUTAR', 'SUTHAR', 'BARHAI', 'BADHAI', 'MISTRY', 'KUNDER', 'DHIMAN', 'SHARMA']"
BARI,"['BARAI', 'BARI']"
BARIA,"['KOLI BARIA', 'BARIA']"
BARIJI,"['TAMALI', 'BARUI TAMBULI', 'BARIJI']"
BARIKA,"['BARIK', 'BARIKA', 'NAPIT', 'NAI', 'BARIKI', 'SATAGHARIA', 'BHANDARI']"
BARJUBI,['BARJUBI']
BARMANS,['BARMANS']
BAROI,['BAROI']
BAROT,"['GADHAVI', 'GADHVI', 'BAROT VAHIVANCHA CHARAN']"
BARRA,"['BARRA', 'BERRER']"
BARUI,"['BARUIJIBI', 'BARUI']"
BARUJIBI,['BARUJIBI']
BARWALA,['BARWALA']
BARWAR,['BARWAR']
BASDEWA,"['BASDEWA', 'VASUDEVA']"
BASNI,"['BASNI', 'BOSNI']"
BASOR,"['BANSPHOR', 'BASOD', 'BURUD', 'BASHOR', 'BANSODI', 'BASOR', 'BASAR', 'BANSOR', 'BANSAL']"
BATA,"['BATA', 'HENSI', 'HESI']"
BATEHDA,"['BATTERA', 'BATTU TURKAS', 'BATEHDA', 'BATHADA', 'BATERA']"
BATHAL,"['BATTAR', 'BATTAL', 'BATTER', 'BATHAL']"
BATHUDI,['BATHUDI']
