Caste,subcastes
BADASUDA,['BADASUDA']
BADHAI,"['SHARMA', 'KHATI', 'JANGRA-BRAHMIN', 'BADHIRA', 'BADHRIA', 'VISHWAKARMA', 'KHARADI', 'MAGHIYA', 'SUTHAR', 'JANGID', 'BADHAI', 'DHEEMAN', 'BARHAI', 'NISHAD', 'RAMGARHIA-SIKH', 'MISTRY', 'TARKHAN', 'PANWARI', 'VISWAKARMA', 'RAMGARHIA', 'CHAURASIA', 'BINDHANIA', 'KHARADA', 'TARKHAN.', 'PANCHAL', 'CHOURSIA', 'BADHEI', 'SUTRADHAR']"
BADHBHUJA,"['BADHBHUJA', 'DHURI', 'BHUNJWA', 'BHURJI', 'DHOORI']"
BADHI,"['NAGALU', 'BADHI']"
BADI,"['BADDON', 'KAMI', 'DAMAI', 'BADI', 'GAINAY', 'SARKI']"
BADIA,['BADIA']
BADIGAR,"['BADIGAR', 'VISHWAKARMA']"
BADWA,"['JAGA', 'BADWA', 'RAO JACHAK', 'BHAT']"
BAFAN,['BAFAN']
BAGATA,['BAGATA']
BAGDI,"['BAGTI', 'BAGDI', 'NODA', 'PHULAKATAMALI', 'SUNDI', 'DARATIA', 'MACHUA']"
BAGGARU,['BAGGARU']
BAGHBAN,"['BAGHBAN', 'BAGBAN', 'BAGWAN']"
BAGHETI,"['BAGHUTI', 'BAGHETI']"
BAGARIA,"['BAGRI', 'BAGARIA', 'BAGDI']"
BAGARIA,"['BAGARIA', 'BAGRIA']"
BAHACH HANJIE & SHIKARA WALLAS,['BAHACH HANJIE & SHIKARA WALLAS']
BAHNA,"['BAHNA', 'BAHANA']"
BAHTI,['BAHTI']
BAHURUPI,['BAHURUPI']
BAIDYA,['BAIDYA']
BAIGA,['BAIGA']
BAIJARA,['BAIJARA']
BAILAPATAR,"['BILAPATAR', 'BAILPATAR', 'BAILAPATAR']"
BAIPARI,['BAIPARI']
BAIRAGI,['BAIRA']
BAIRAGI,"['BARAGI', 'BYARAGI', 'BAVANI', 'RATHORE', 'MAHANT', 'BAHARI', 'GILL', 'BAIRAGI', 'POWAR', 'BAVAJI', 'BAREGI', 'BAVA', 'SWAMI', 'VAISHNO']"
BAIRWA,"['BERWA', 'BAIRWA']"
BAISHNAB,['BAISHNAB']
BAISHYA KAPALI,['BAISHYA KAPALI']
BAISHNAB,['BAISNAB']
BAISTAMBA,"['BAISTAMBA', 'UPADHYAY']"
BAJAKAS,['BAJAKAS']
BAJANIA,"['BAJANIA', 'BAJENIA']"
BAJANIA,['BAJANIYA']
BAJANTRI,"['BAJANTRI', 'KSHWRIKA']"
BAJIGAR,['BAJGAR']
BAJIGAR,['BAJIGAR']
BAJIGAR,['BAJIKAR']
BAJIR,['BAJIR']
BAKAD,"['BAKAD', 'BANT']"
BAKADRA,['BAKADRA']
BAKARWAL,['BAKARWAL']
BAKHO,['BAKHO']
BAKSHI,"['VANAND', 'BAROT', 'BAVAJI', 'BAKSHI PANCH', 'NODI', 'BAKSHI', 'SAMEJA']"
BAKUDA,['BAKUDA']
BALAGAI,['BALAGAI']
BALAGIGA,"['SUNNAKAIL', 'BALAGIGA']"
BALAHI,"['BALAI', 'BALAHI']"
BALAHI,['BALAI']
BALASANTHU,['BALASANTHOSHI']
BALASANTHU,"['BAHURUPI', 'BALASANTHU']"
BALIGAR,['BALIGAR']
BALIJA,"['BALAJIGA', 'BALE BALAJIGA', 'SETTIVARI', 'BANDARI', 'NAIKA', 'TELUGA BANAJIGA', 'MATRACHA', 'MUTRASI', 'SETTY BANAJIGA', 'DASA BANAJIGA', 'PALAGIRI', 'KUDARI', 'BALIJA', 'DUDEKULA', 'KALAVANTHI TELAGA BALIJA', 'JANAPPAN', 'MUNNAR', 'MANNUR', 'PERIKI', 'BALEGARA', 'KASBAN', 'POKANTI', 'SETTI', 'BALESHETTARU', 'BANAJIGA', 'LINGAYAT BALEGALA', 'GAJULA BALIJA', 'CHINNKAPU', 'TELUGA', 'CETTIBALIJA', 'SETTY BALIJA', 'NAIDU', 'BHOGAM', 'SETTIBALIJA', 'CHEEMALA', 'GAZULA', 'TELAGA']"
BALMIKI,"['CHUHRA', 'RAMDASI', 'BHANGI', 'SOHATA', 'BALMIKI', 'CHUHRE', 'CHURA', 'SOBAT']"
BALTI,['BALTI']
BAMAN,"['SAMRATH', 'BAMAN']"
BANCHADA,['BANCHADA']
BANDARA,['BANDARA']
BANDARA,"['ANDI', 'BANDARAM']"
BANDHARI,['BANDARI']
BANDARI NAIK,"['BLACKSMITH', 'BANDARI NAIK', 'TINSMITH']"
BANDHARI,['BANDHARI']
BANDHELA,['BANDHELA']
BANDI,['BANDI']
BANGALI,"['CHASA', 'BENGALI', 'BANGALI', 'HELA']"
BANGI,"['BANGI', 'KHAKROB', 'BHANGI']"
BANGSHI,['BANGSHI']
BANIK,"['GANDHABANIK', 'DESASHRAM', 'BANIK']"
BANIYA,"['SHAHU', 'SHARMA', 'SAHU', 'GOYAL', 'POWAR', 'TUREHA', 'SUNARI', 'JAIN', 'SINGLA', 'SINGHAL', 'GOEL', 'BANSAL', 'ORIYAMUNDA', 'AGARWAL', 'KESHRWANI', 'MODI', 'MISTRY', 'ORIYABANIYA', 'VARSHNEY', 'AGARAWAL', 'KHANDEL', 'BARNAWAL', 'CHOUDHARY', 'KESARBANI', 'YADAV', 'KESRI', 'BANIYA', 'ASRATI', 'RANA', 'SHAH', 'GARG', 'AYODHABASI', 'PALIWAL', 'KANSAL', 'GUPTA', 'MAHAJAN', 'ARORA', 'JINDAL', 'JAISWAL']"
BANJARA,"['BANJARA', 'LAMBANI', 'LAMBADI', 'NAVI BANJARA', 'LAMBARA LAMBHANI', 'MATHURA LABHAN', 'MAKRANI', 'LABAN', 'KHAN', 'DHALIA BANJARA', 'LAMNE', 'MEKRANI', 'LAMANI LABAN DHALI', 'BANJARI MATHURA', 'MATHURA', 'LABANA', 'MATHURA BANJARA KACHIKIWALE BANJARA LAMAN BANJARA LAMAN', 'RANGREZ', 'DHALIA', 'DHURIYA', 'CHANDWAR', 'CHADAWA', 'JOGI BANJARA', 'MAKRANI.', 'BANJARI', 'LAMAN BANJARA', 'SUKALI', 'KUMAWAT', 'BAMANIA BANJARA LAMAN', 'MATHURA BANJARI', 'SUGALI', 'LAMANI', 'BANJARI GOAR BANJARA LAMBADA', 'LABHANA', 'GORMATI', 'BALADIA', 'GAMETIA', 'LABHANA LABAN', 'RANKIA', 'LAMBADA', 'NAYAK', 'RAVANA', 'RATHOR', 'NAYKADA', 'NAYKADA LAMBANA', 'LAMAN', 'DHADI', 'LAMBANA', 'DHARI SINGARI NAVI BANJARA', 'RANKI', 'SUGALI.', 'LAMBARA', 'MUKERI', 'LAMBADE LAMBHANI CHARAN BANJARA LABHAN MATHURA LABHANI', 'BAMANIA BANJARA', 'MANSURI', 'KACHIRIWALA BANJARA', 'VAISHNAV']"
BANNA,['BANNA']
BANIYA,"['BANNIYAR', 'PADAIYACHI']"
BANNSA,"['GARG', 'BANNSA']"
BANPAR,['BANPAR']
BANSHI BARMAN,['BANSHI BARMAN']
BANSI,['BANSI']
BANSPHOR,"['BASOR', 'BANSPHOD', 'BASPHOR', 'BANSPHOR']"
BANT,['BANT']
BANTAR,['BANTAR']
BANWARI,['BANWARI']
BAORI,"['BAORI', 'CHOUKIDA']"
BAPHAN,['BAPHAN']
BARAD,['BARAD']
BARAGI,"['BARAGI', 'BAIRAGI']"
BARAHAR,"['BASOD', 'BARAHAR']"
BARAI,"['BARAI', 'TOMBOLI', 'TAMOLI', 'KUMAVAT', 'BARI', 'TAMBOLI KUMAVATT', 'KUMAVATT', 'TAMBOLI', 'WAARAI', 'WARI', 'TARBOLI']"
BARAI,['BARAI TAMBOLI']
BARAR,"['BARWALA', 'BARAR', 'BURAR', 'BERAR']"
BARBAR,['BARBAR']
BARBER,['BARBER']
BARDA,['BARDA']
BARGI,"['BIRGI', 'BARGI', 'VARGI']"
BARGUNDA,['BARGUNDA']
BARHAI,"['MISTRY', 'SHARMA', 'KHATI', 'VISWAKARMA', 'BADHAI', 'KUNDER', 'DHIMAN', 'GARG', 'BARHAI', 'MALVIA', 'VISHWAKARMA', 'RAMGARHIA', 'SUTAR', 'SUTHAR']"
BARI,"['BARI', 'BARAI']"
BARIA,"['KOLI BARIA', 'BARIA']"
BARIJI,"['TAMALI', 'BARIJI', 'BARUI TAMBULI']"
BARIKA,"['BHANDARI', 'BARIK', 'NAPIT', 'BARIKI', 'SATAGHARIA', 'NAI', 'BARIKA']"
BARIKA,['BARIKI']
BARJUBI,['BARJUBI']
BARMANS,['BARMANS']
BAROI,['BAROI']
BAROT,"['GADHAVI', 'BAROT VAHIVANCHA CHARAN', 'GADHVI']"
BARRA,"['BERRER', 'BARRA']"
BARUI,"['BARUIJIBI', 'BARUI']"
BARUJIBI,['BARUJIBI']
BARWALA,['BARWALA']
BARWAR,['BARWAR']
BASDEWA,"['VASUDEVA', 'BASDEWA']"
BASNI,"['BASNI', 'BOSNI']"
BASOR,"['BASOR', 'BURUD', 'BASOD', 'BANSODI', 'BANSPHOR', 'BANSAL', 'BANSOR', 'BASAR', 'BASHOR']"
BATA,"['HENSI', 'BATA', 'HESI']"
BATEHDA,['BATEHDA']
BATEHDA,"['BATTERA', 'BATERA']"
BATEHDA,['BATHADA']
BATHAL,"['BATHAL', 'BATTAL', 'BATTER', 'BATTAR']"
BATHUDI,['BATHUDI']
BATTERA,['BATTERA']
BATEHDA,['BATTU TURKAS']
BATWAL,"['BARWALA', 'BATWAL']"
BAURI,['BAULIYA']
BAURI,"['CHASA', 'DULIA', 'CHASHA', 'PATHURIYA', 'BAURI', 'BUNA BAURI', 'DASIA BAURI', 'MALLABHUMIA']"
BAURI,"['BAURIA', 'BAWARIA']"
BAUTI,['BAUTI']
BAVACHA,"['BAMCHA', 'BAVACHA']"
BAWAJI,"['GOSAWMI', 'NATH', 'BAVAJI', 'NIMAVAT']"
BAVASAR,['BAVASAR']
BAVASARKSHATRIYA,"['BAVASARKSHATRIYA', 'DARJE']"
BAVRI,"['BAORI', 'BAVRI']"
BAVRI,['BAVURI']
BAWA,"['BAWA-DEDH', 'DEDH-SADHU']"
BAWAJI,"['GOSAWMI', 'BAWAJI', 'BAKSHI PANCH']"
BAWARCHI,"['BAWARCHI', 'BHATIARA']"
BAWARIA,"['DABLA', 'BAWRIA', 'BAURIA', 'BAWARIA']"
BAWTAR,['BAWTAR']
BAYAR,"['BAYAR', 'BARWAR']"
BAYEN,"['BAYEN', 'BAJUNIA']"
BAZIGAR,"['NAT', 'BADHAI', 'BAZIGAR', 'JOGI', 'KALANDAR']"
BEDA,['BEDA']
BEDA JANGAM,"['BEDA JANGAM', 'BUDGA JANGAM']"
BEDARU,"['BEDAR', 'BEPAR']"
BEDARU,"['BYADA', 'BARGI', 'BEDARU', 'TALAWARA', 'BENDAR', 'VALMIKIMAKKALUM VEDAN', 'HIRSHIKARI', 'NAIKWADI', 'BOYA', 'PARIVARA NAYAKA', 'TALWAR', 'VALIMIKI', 'MYASA NAYAKA', 'BERAD', 'PALEGAR', 'PARIVARA', 'NAIKAMAKKALU', 'BARKI', 'URS NAYAKA', 'RAMOSHI']"
BEDIA,"['BEDDI', 'BEJIA', 'BEDIA', 'BERIA']"
BEHNA,"['HANAFI', 'BEHNA', 'SIDDIQUI']"
BELAMA,['BELAMA']
BELAVVA,"['PUJARI', 'BELAVVA']"
BELDAR,"['BHATI', 'TAWAR', 'BELDAR', 'SUNKAR', 'OD', 'MUSLIM BELDAR']"
BELLARA,['BELLARA']
BENAYAT,"['MUNDA', 'BENAYAT', 'GOUDA', 'CHAKULIA', 'SATAGHARIA', 'SUKULIA']"
BENTKAR,['BENTKAR']
BERAD,"['BERAD', 'BEDAR NAIKWADI TALWAR WALMIKI']"
BERIA,['BERIA']
BESTHA,"['BESHTAR', 'BUNDE-BESHTA']"
BESTHA,"['SANCHALUWADDAR', 'BESTALLU', 'BESTER', 'BESTI', 'BESTA']"
BESTHA,"['MOGERU', 'MATESHP', 'JALARU', 'POKANTI', 'SELLA', 'VALMIKI', 'JALARI', 'BESTHA', 'SIVIAR', 'CHEEMALA', 'DASAI', 'KUDARI', 'NAIKA', 'YADAV', 'SAYED', 'PUJARI']"
BETA,"['HANSI', 'HASI', 'HENSI', 'BETA']"
BETA HENSI,"['BETA HENSI', 'HESI']"
BETKAR,['BETKAR']
BHAAT,"['BHATRAJU', 'BHATRAJ', 'BOHROT', 'BHAAT']"
BHADBHUNJA,"['BHADBHUNJA', 'BHARADBHUNGA', 'BHURJAWA', 'BHUNJ', 'BHUJWA', 'BHURJI', 'BHURANJI']"
BHAINA,"['BHAINA', 'RAM']"
BHAJANTRI,['BHAJANTRI']
BHAJIR,['BHAJIR']
BHAKTA,['BHAKTA']
BHALDAR,['BHALDAR']
BHALIA,['BHALIA']
BHAMBI,"['MACHIGAR', 'CHAMADIA', 'SAMGAR', 'NONA', 'RAMNAMI', 'SURJYARAMNAMI', 'HARALAYYA', 'MOCHI', 'MADIG', 'BHAMBI', 'TELEGU MOCHI', 'ASODI', 'PARDESHI CHAMAR', 'CHAMBHAR', 'SAMAGARA', 'NALIA', 'CHAMAR', 'ROHIDAS', 'MADAR', 'SATNAMI', 'SURJYABANSHI', 'CHAMGAR', 'CHAMAR-RAVIDAS', 'RANIGAR', 'ASADARU', 'MUCHI', 'KAMATI MOCHI', 'CHAMARI', 'TELUGU MOCHI', 'HARALI', 'MOCHIGAR', 'KHALPA', 'BHAMBHI', 'ROHIT', 'CHARMAKAR']"
BHAMTA,"['BHAMTA', 'PARADESHI', 'UCHILLIAN', 'PARDESHI BHAMTA', 'BHAMPTA', 'BHAMTI', 'PATHRUT', 'GIRNI', 'WADDAR', 'GHANTICHORE', 'TAKARI', 'UCHALE', 'KAMATI', 'BHOMPTRA', 'PARDESHI']"
BHANBHUNIYA,['BHANBHUNIYA']
BHAND,['BHAND']
BHANDARI,"['CHASA', 'BHANDARI', 'KSHWRIKA', 'NAIK', 'NAPITA', 'RADHI', 'SATAGHARIA']"
BHANGI,"['ZADMALLI', 'OLGANA', 'JAMPHODA', 'HELA', 'DHARKAR', 'KORAR', 'UPADHAYAY', 'BARWASHIA', 'MALKANA', 'LALBEGI', 'ZAMPADA', 'HALALKHOR', 'VALMIKI', 'BARWASIA', 'MEHTAR', 'RUKHI', 'BAKSHI PANCH', 'BHANGI', 'BALMIK', 'BALMIKI', 'CHURA', 'ZAMPDA', 'RUSHI']"
